body,tags
"<p>You are in a directed weighted graph with $N$ $(63 \le N \le 10^6)$ vertices and $M$ $(1 \le N \le 10^6)$ edges and you want to get from $63^{rd}$ to $4^{th}$ vertex. Going through $i^{th}$ edge takes you $t_i$ hours $(1 \le t_i \le 24)$. A big monster wants to kill you. He appears in the $i^{th}$ edge $f_i$ times per 24 hours randomly. What is the lowest expected value of you meeting with monster?</p>

<p>Input: In the first line we've got $N$ and $M$. In the $M$ following lines there are descriptions of the edges. In each line there is 4 numbers - $a_i, b_i, t_i, f_i$. It means that $i^{th}$ edge is directed from $a_i$ to $b_i$.</p>

<p>Output: You should give one number. The lowest possible expected value of you meeting with monster.</p>

<p>Example:</p>

<p>Input:</p>

<pre><code>64 3
63 4 24 24
63 2 5 1
2 4 5 1
</code></pre>

<p>Output: </p>

<pre><code>0.416667
</code></pre>
","<graph-theory><expectation>"
"<p>What are anonymous graphs, what is graph embeddedness, and how do they relate to each other? Very confused - I could not find short answer. Thanks.</p>
","<graph-theory><definition>"
"<p>I need to a way to express a change in the structure of a given graph <code>G</code>, such that the original graph is <code>G</code> and the changed graph is <code>G'</code>. A change in the graph can be the addition or removal of any number of vertices and/or edges.</p>

<p>Currently, my thought is to express the change as two percentages: the number of vertices in <code>G'</code> as a percentage of the number of vertices in <code>G</code>, and the same for edges. However, it occurs to me that removing a vertex also means removing all edges connected to it.</p>

<p>Are there any standard ways of quantifying the change in a graphs structure?</p>
","<graph-theory><quantifiers>"
"<p>Define the Revision Tracking Graph (RTG), which is an oriented graph (without circles) where each node x has a set C(x) associated with it, which contains all edges leading into it on all paths from a node 0 (node with empty set). Each edge can be in a set exactly once!</p>

<p>You can also describe this data structure by the rules for its growth:</p>

<ol>
<li>Start with node 0 with associated empty set <code>C(0) = {}</code></li>
<li>For any node x create a new node y where (x,y) is oriented edge from x to y and 
<code>C(y) = C(x) union { (x,y) }</code></li>
<li>For any nodes f and t, create node r, where (f,r) and (t,r) are oriented edges and 
<code>C(r) = C(f) union C(t) union { (f,r), (t,r) }</code></li>
</ol>

<p>Those rules can be described by words as 1) creating new object 2) branching and versioning 3) merging. You can see that the only difference between branching and versioning is whether there already is an edge leading from a node or not. </p>

<p>You can further differentiate the graph by naming branches (paths in the graph).</p>

<p>Base node is defined as a node b, such as <code>C(b) = C(f) intersect C(t)</code>. For short: <code>Result=(From-Base)+To</code>. In other words, if you remove all edges in C(b) from C(f) and add edges from C(t), the resulting set would have every edge exactly once and all edges from C(f) and C(t) would be present in C(r).</p>

<p>I have actually several questions pertaining to this data structure:</p>

<blockquote>
  <ol>
  <li>Prove there are no circles in the graph</li>
  <li>Prove that for certain graphs there are such nodes F,T for which base cannot be found as specified in simple equation.</li>
  <li>Prove that for each graph and each pair of nodes F and T, there is a set of n pairs of nodes Fi,Bi where Fn = F and <code>R = T + Sum(i=1..n) of (Fi-Bi)</code>.</li>
  <li>Create algorithm to find B in simple case where n = 1.</li>
  <li>Create algorithm to find Fi,Bi for i=1..n where n > 1.</li>
  </ol>
</blockquote>

<p>I know the answers to 1,2 and 4, but I put them here to get you in the mood of working with this data structure. Have fun with it, pose additional problems and find answers. Any new answers could significantly advance the theory behind revision control systems.</p>
","<graph-theory><algorithms>"
"<p>Let $A_1, A_2, \ldots, A_{20}$ be twenty sets each of size $20$ such that $|A_i \cap A_j | \le 2$. Prove that they have a system of distinct representatives.</p>
","<graph-theory><discrete-optimization>"
"<p>Prove that if $G$ is connected, not the complete graph and $\Delta(G) &gt; 2$ then the chromatic number of G is at most $\Delta(G)$.</p>
","<graph-theory>"
"<p>An excercise says ""deduce Konig's Theorem on bipartite graphs from Dilworth's theorem on posets"". </p>

<p>Let G be a bipartite graph, G=(A,B). Order the edges left to right. A maximum antichain is a largest independent set in the graph. </p>

<p>I can see a maximum antichain must have every vertex in G incident with it. But it doesn't follow that every edge is incident with it. That may not be true. </p>

<p>So how does one proceed? </p>
","<graph-theory>"
"<p>I am working on the following problem:</p>

<p>Suppose that $T$ is a spanning tree of a graph $G$, with an edge cost function $c$.  Let $T$ have the <em>cycle property</em> if for any edge $e' \not \in T, c(e') \geq c(e)$ for all $e$ in the cycle generated by adding $e'$ to $T$.  Let  $T$ have the <em>cut property</em> if for any edge $e \in T$, $c(e) \leq c(e')$ for all $e'$ in the cut defined by $e$</p>

<p>Show that (i), (ii), and (iii) are equivalent, where: (i) T has the cycle property, (ii) T has the cut property, and (iii) T is a minimum cost spanning tree.</p>

<p>I believe that to show that (iii) implies (i), we suppose otherwise, and then show that this would give a cycle with an edge that can replace another edge in T and that is cheaper, whence we have a contradiction.  Similarly, I believe to show that (iii) implies (ii), we similarly suppose otherwise, and then show that this would give a cut with an edge that can replace another edge in T and that is cheaper, whence a contradiction.</p>

<p>However, I am not sure how to prove the other implications needed for this problem.  My feeling is to somehow use a similar argument to what I listed, but ""in reverse"".</p>

<p>Any help with this problem would be greatly appreciated.  Thank you very much.</p>
","<graph-theory><network-flow>"
"<p>I'm looking for a simple (or better yet, minimal) example of a planar triangulation of which dual graph (that of the faces) would be ""obviously"" non-Hamiltonian.</p>

<p>(NB: I once asked the same question for planar triangulations, but I'm now interested in their dual graphs.)</p>

<p>Thanks in advance!</p>
","<graph-theory>"
"<p>I know that the answer to this question is given using the following regression formula:
$$f(n)=(n-1)f(n-1)+\binom {n-1}{2}f(n-3)$$</p>

<p>The first part of the right-hand side is true when a node is added somewhere between two nodes, however I'm having trouble understanding why the second part is true.</p>
","<graph-theory>"
